Mode,M,N,K,Time_ms,TFLOPS,Precision
rtx4090_benchmark_fp16,12288,4096,1024,0.6131711959838867,168.10837785457355,fp16
rtx4090_aot_benchmark,2048,512,16384,0.2044159889221191,168.08733284112515,
rtx4090_benchmark_fp16,2048,16384,8192,3.2712703704833985,168.0557556013819,fp16
rtx4090_torch_compile_benchmark,16384,8192,2048,3.2747520446777343,167.8770808866236,fp16
rtx4090_benchmark_fp16,4096,8192,12288,4.912332916259766,167.8700802428255,fp16
rtx4090_aot_benchmark,512,2048,8192,0.1023615956306457,167.83510532593306,
rtx4090_torch_compile_benchmark,16384,12288,2048,4.914368057250977,167.80056178642988,fp16
rtx4090_aot_benchmark,2048,1024,8192,0.2048772096633911,167.70893368009217,
rtx4090_benchmark_fp16,4096,4096,16384,3.2795009613037105,167.6339846747457,fp16
rtx4090_aot_benchmark,2048,512,8192,0.1024896025657653,167.62548350186103,
rtx4090_aot_benchmark,1024,2048,8192,0.205184006690979,167.4581704593969,
rtx4090_benchmark_fp16,4096,512,8192,0.2052095890045165,167.43729440072002,fp16
rtx4090_benchmark_fp16,12288,2048,12288,3.693977737426757,167.4279962106195,fp16
rtx4090_benchmark_fp16,512,12288,8192,0.6156799793243408,167.4233669529439,fp16
rtx4090_torch_compile_benchmark,4096,16384,4096,3.28458251953125,167.37463912657518,fp16
rtx4090_benchmark_fp16,4096,4096,12288,2.4639488220214845,167.3398638522553,fp16
rtx4090_benchmark_fp16,12288,12288,1024,1.8481151580810549,167.32596124209564,fp16
rtx4090_benchmark_fp16,8192,2048,1024,0.2055167913436889,167.1870125226881,fp16
rtx4090_benchmark_fp16,8192,2048,12288,2.466380882263184,167.1748525871043,fp16
rtx4090_benchmark_fp16,16384,1024,8192,1.6451583862304688,167.08294425913869,fp16
rtx4090_benchmark_fp16,8192,1024,16384,1.645939254760742,167.00367656275196,fp16
rtx4090_benchmark_fp16,8192,2048,2048,0.4114943981170654,166.99978675396233,fp16
rtx4090_torch_compile_benchmark,12288,4096,12288,7.408051300048828,166.9738141850944,fp16
rtx4090_aot_benchmark,256,4096,8192,0.1029135942459106,166.9348865898992,
rtx4090_torch_compile_benchmark,8192,16384,2048,3.293388748168945,166.92709422586466,fp16
rtx4090_benchmark_fp16,12288,2048,2048,0.6177792072296142,166.85445851480048,fp16
rtx4090_benchmark_fp16,12288,1024,8192,1.2355839729309084,166.85100707398706,fp16
rtx4090_aot_benchmark,4096,8192,8192,3.2969509887695314,166.7467353201925,
rtx4090_benchmark_fp16,16384,2048,1024,0.4122623920440674,166.6886867736761,fp16
rtx4090_benchmark_fp16,12288,8192,1024,1.2371968269348146,166.6334941375194,fp16
rtx4090_aot_benchmark,2048,4096,2048,0.2062060117721557,166.62820871568616,
rtx4090_torch_compile_benchmark,8192,12288,2048,2.474803161621094,166.6059211537115,fp16
rtx4090_benchmark_fp16,4096,256,8192,0.1031679987907409,166.52323768387222,fp16
rtx4090_benchmark_fp16,12288,1024,16384,2.476223945617676,166.51032760817222,fp16
rtx4090_benchmark_fp16,8192,4096,1024,0.4127232074737549,166.5025748288455,fp16
rtx4090_benchmark_fp16,2048,16384,4096,1.6513023376464844,166.46128372577078,fp16
rtx4090_aot_benchmark,8192,8192,4096,3.3026272583007814,166.46014548152556,
rtx4090_aot_benchmark,4096,512,8192,0.2064275979995727,166.4493444722014,
rtx4090_benchmark_fp16,16384,1024,2048,0.4129792213439941,166.39935663678244,fp16
rtx4090_benchmark_fp16,2048,8192,4096,0.8265215873718261,166.28598160276547,fp16
rtx4090_torch_compile_benchmark,4096,16384,12288,9.91825942993164,166.2859752071808,fp16
rtx4090_aot_benchmark,16384,4096,4096,3.306291198730469,166.2756789538357,
rtx4090_aot_benchmark,4096,256,8192,0.1033455967903137,166.23706976948068,
rtx4090_benchmark_fp16,12288,1024,1024,0.1550848007202148,166.1658889609095,fp16
rtx4090_benchmark_fp16,8192,1024,12288,1.2406784057617188,166.1658889609095,fp16
rtx4090_torch_compile_benchmark,12288,8192,2048,2.48217601776123,166.1110483163415,fp16
rtx4090_benchmark_fp16,8192,1024,8192,0.8274991989135743,166.0895305426808,fp16
rtx4090_benchmark_fp16,16384,1024,12288,2.4836095809936523,166.01516742862566,fp16
rtx4090_benchmark_fp16,2048,12288,12288,3.72592658996582,165.992344639746,fp16
rtx4090_aot_benchmark,8192,12288,2048,2.4843673706054688,165.96452895592236,
rtx4090_aot_benchmark,8192,16384,2048,3.313418273925781,165.91802435997377,
rtx4090_benchmark_fp16,12288,2048,16384,4.970905685424805,165.89204724803147,fp16
rtx4090_benchmark_fp16,4096,1024,4096,0.2071552038192748,165.86471271064917,fp16
rtx4090_benchmark_fp16,8192,12288,8192,9.94529266357422,165.833977687216,fp16
rtx4090_aot_benchmark,8192,4096,4096,1.6579994201660155,165.78890414598362,
rtx4090_benchmark_fp16,12288,12288,8192,14.92682189941406,165.73529041658298,fp16
rtx4090_benchmark_fp16,4096,2048,12288,1.2439552307128907,165.72817503235538,fp16
rtx4090_benchmark_fp16,16384,8192,512,0.8295424461364747,165.68043517496972,fp16
rtx4090_benchmark_fp16,512,8192,8192,0.4148736000061035,165.6395507812235,fp16
rtx4090_aot_benchmark,4096,4096,4096,0.8298111915588379,165.6267773562016,
rtx4090_aot_benchmark,8192,8192,2048,1.6601496887207032,165.5741700953596,
rtx4090_benchmark_fp16,1024,16384,16384,3.320415878295899,165.56836072297824,fp16
rtx4090_aot_benchmark,8192,4096,8192,3.32042236328125,165.5680373579733,
rtx4090_benchmark_fp16,2048,12288,4096,1.2454015731811523,165.5357072349007,fp16
rtx4090_aot_benchmark,8192,2048,4096,0.8304384231567383,165.501679160695,
rtx4090_benchmark_fp16,2048,2048,8192,0.4152336120605469,165.49593949051442,fp16
rtx4090_benchmark_fp16,1024,1024,16384,0.2077183961868286,165.41499933927733,fp16
rtx4090_aot_benchmark,2048,8192,4096,0.8311039924621582,165.36914118873983,
rtx4090_aot_benchmark,4096,2048,2048,0.2077807903289795,165.36532714885817,
rtx4090_aot_benchmark,16384,8192,2048,3.3255218505859374,165.31414875266455,
rtx4090_benchmark_fp16,4096,4096,1024,0.2078752040863037,165.29022073135206,fp16
rtx4090_aot_benchmark,12288,12288,2048,3.743026428222656,165.23401650617723,
rtx4090_benchmark_fp16,1024,16384,2048,0.416096019744873,165.15292979282754,fp16
rtx4090_aot_benchmark,16384,12288,2048,4.993331298828125,165.14700737472225,
rtx4090_benchmark_fp16,1024,12288,8192,1.2484607696533203,165.13008275401978,fp16
rtx4090_benchmark_fp16,8192,512,8192,0.416153621673584,165.1300701400626,fp16
rtx4090_benchmark_fp16,2048,512,16384,0.2081279993057251,165.08945688526993,fp16
rtx4090_benchmark_fp16,4096,256,16384,0.2082815885543823,164.96771801329274,fp16
rtx4090_benchmark_fp16,8192,16384,8192,13.33043212890625,164.9626384416713,fp16
rtx4090_benchmark_fp16,1024,16384,4096,0.8334336280822754,164.9068970113985,fp16
rtx4090_benchmark_fp16,1024,16384,8192,1.6670719146728517,164.88665217417594,fp16
rtx4090_aot_benchmark,12288,8192,2048,2.501284484863281,164.84204931952672,
rtx4090_benchmark_fp16,4096,8192,16384,6.670111846923827,164.84155783430845,fp16
rtx4090_benchmark_fp16,8192,12288,512,0.6255616188049317,164.77867568173664,fp16
rtx4090_aot_benchmark,512,4096,8192,0.2085247993469238,164.77530958241334,
rtx4090_benchmark_fp16,2048,16384,2048,0.8341024398803711,164.77466903431167,fp16
rtx4090_benchmark_fp16,16384,1024,16384,3.336806488037109,164.7550782039495,fp16
rtx4090_benchmark_fp16,12288,8192,512,0.6257152080535889,164.7382287936525,fp16
rtx4090_benchmark_fp16,16384,12288,8192,20.025343322753905,164.71801907036578,fp16
rtx4090_benchmark_fp16,512,16384,8192,0.8344063758850098,164.7146491734629,fp16
rtx4090_aot_benchmark,16384,8192,4096,6.677217407226562,164.6661417053801,
rtx4090_benchmark_fp16,16384,16384,8192,26.712884521484376,164.64139271694086,fp16
rtx4090_aot_benchmark,4096,16384,2048,1.6703077697753903,164.56722043564662,
rtx4090_benchmark_fp16,8192,1024,1024,0.1044479966163635,164.48251513240118,fp16
rtx4090_benchmark_fp16,1024,1024,12288,0.1566720008850097,164.48250887479176,fp16
rtx4090_benchmark_fp16,2048,512,12288,0.1566720008850097,164.48250887479176,fp16
rtx4090_aot_benchmark,16384,2048,8192,3.342950439453125,164.45227766461736,
rtx4090_torch_compile_benchmark,16384,16384,1024,3.342950439453125,164.45227766461736,fp16
rtx4090_benchmark_fp16,12288,16384,1024,2.507776069641113,164.41534210628566,fp16
rtx4090_aot_benchmark,12288,2048,8192,2.508107452392578,164.39361879120267,
rtx4090_torch_compile_benchmark,4096,16384,1024,0.8366592407226563,164.2711235141423,fp16
rtx4090_aot_benchmark,4096,12288,8192,5.020608520507812,164.24975527639663,
rtx4090_benchmark_fp16,4096,2048,16384,1.673619270324707,164.24160011653643,fp16
rtx4090_benchmark_fp16,8192,4096,16384,6.694873809814453,164.23186739743383,fp16
rtx4090_aot_benchmark,4096,2048,8192,0.836978816986084,164.2084013152332,
rtx4090_benchmark_fp16,4096,1024,16384,0.8372223854064942,164.1606290845528,fp16
rtx4090_benchmark_fp16,1024,4096,8192,0.4186111927032471,164.1606290845528,fp16
rtx4090_torch_compile_benchmark,16384,12288,1024,2.513920021057129,164.01351553046487,fp16
rtx4090_benchmark_fp16,16384,512,8192,0.8381343841552735,163.98200106122593,fp16
rtx4090_aot_benchmark,16384,16384,2048,6.705928344726562,163.96113576737497,
rtx4090_benchmark_fp16,4096,12288,12288,7.544454193115234,163.95494618772972,fp16
rtx4090_aot_benchmark,1024,12288,2048,0.3143935918807983,163.93339076561438,
rtx4090_benchmark_fp16,4096,4096,2048,0.4193280220031738,163.88000116882213,fp16
rtx4090_torch_compile_benchmark,12288,16384,1024,2.5167871475219727,163.8266711676301,fp16
rtx4090_benchmark_fp16,16384,2048,12288,5.034393692016602,163.8000067693714,fp16
rtx4090_aot_benchmark,512,8192,8192,0.4195603847503662,163.78924043767222,
rtx4090_benchmark_fp16,2048,12288,2048,0.6293504238128662,163.78667782489651,fp16
rtx4090_aot_benchmark,16384,4096,2048,1.6786842346191406,163.7460466210694,
rtx4090_benchmark_fp16,1024,12288,12288,1.8892799377441405,163.68016149117605,fp16
rtx4090_aot_benchmark,1024,4096,8192,0.4198627948760986,163.6712696972331,
rtx4090_benchmark_fp16,16384,12288,512,1.2596863746643066,163.6585378348155,fp16
rtx4090_benchmark_fp16,16384,256,8192,0.4199935913085938,163.62029840000056,fp16
rtx4090_aot_benchmark,12288,2048,4096,1.2600313568115231,163.61373000246485,
rtx4090_benchmark_fp16,16384,1024,1024,0.2100784063339233,163.55673563795315,fp16
rtx4090_benchmark_fp16,8192,2048,16384,3.361382293701172,163.55051757075552,fp16
rtx4090_benchmark_fp16,1024,12288,16384,2.5212928771972654,163.53390125559,fp16
rtx4090_benchmark_fp16,12288,512,8192,0.6303743839263916,163.5206279512089,fp16
rtx4090_aot_benchmark,2048,2048,8192,0.4203135967254638,163.49572621816822,
rtx4090_benchmark_fp16,8192,12288,1024,1.260979175567627,163.4907492546007,fp16
rtx4090_benchmark_fp16,2048,8192,8192,1.6818176269531249,163.4409715647851,fp16
rtx4090_aot_benchmark,12288,4096,8192,5.045902099609375,163.4264209953337,
rtx4090_benchmark_fp16,1024,2048,8192,0.2102783918380737,163.40118481816688,fp16
rtx4090_benchmark_fp16,2048,1024,8192,0.2103296041488647,163.36139891976998,fp16
rtx4090_aot_benchmark,4096,8192,4096,1.6829029846191406,163.33556328335104,
rtx4090_benchmark_fp16,12288,512,16384,1.262182426452637,163.33489192002796,fp16
rtx4090_aot_benchmark,4096,2048,4096,0.4207615852355957,163.32165090005097,
rtx4090_benchmark_fp16,2048,4096,16384,1.68407039642334,163.22233769312186,fp16
rtx4090_benchmark_fp16,2048,512,8192,0.1052688002586364,163.2000093265101,fp16
rtx4090_aot_benchmark,12288,8192,4096,5.053030395507813,163.1958757986309,
rtx4090_aot_benchmark,4096,1024,8192,0.4212480068206787,163.13306086514785,
rtx4090_benchmark_fp16,512,2048,8192,0.1053696036338806,163.04388164630026,fp16
rtx4090_benchmark_fp16,2048,4096,2048,0.2107392072677612,163.04388164630026,fp16
rtx4090_benchmark_fp16,2048,4096,8192,0.8432080268859863,162.9953096859972,fp16
rtx4090_aot_benchmark,2048,12288,8192,2.5299148559570312,162.97657585003046,
rtx4090_benchmark_fp16,512,16384,2048,0.2108416080474853,162.96469509121542,fp16
rtx4090_benchmark_fp16,16384,512,16384,1.6877567291259763,162.86583380197723,fp16
rtx4090_benchmark_fp16,512,4096,8192,0.2109855890274048,162.85348457394895,fp16
rtx4090_aot_benchmark,12288,4096,4096,2.533228759765625,162.7633741431815,
rtx4090_benchmark_fp16,16384,8192,1024,1.6891904830932618,162.7275962629395,fp16
rtx4090_torch_compile_benchmark,4096,16384,2048,1.6893951416015625,162.7078829428935,fp16
rtx4090_aot_benchmark,12288,16384,2048,5.069004821777344,162.6815814593877,
rtx4090_aot_benchmark,8192,16384,4096,6.761004638671875,162.62548046291343,
rtx4090_benchmark_fp16,256,16384,8192,0.4226560115814208,162.58961153510486,fp16
rtx4090_aot_benchmark,1024,8192,2048,0.211353588104248,162.56993163064922,
rtx4090_benchmark_fp16,2048,4096,12288,1.2683263778686524,162.54367472388068,fp16
rtx4090_benchmark_fp16,16384,2048,16384,6.765363311767578,162.52070688702332,fp16
rtx4090_benchmark_fp16,12288,12288,512,0.9514944076538084,162.50103144301028,fp16
rtx4090_aot_benchmark,4096,12288,2048,1.2692070770263673,162.43088613326185,
rtx4090_torch_compile_benchmark,16384,4096,4096,3.38513298034668,162.40301845740137,fp16
rtx4090_benchmark_fp16,4096,16384,12288,10.162380981445311,162.29143983828857,fp16
rtx4090_benchmark_fp16,1024,16384,1024,0.2117631912231445,162.2554806127453,fp16
